huobi -> bithumb
                    to1                     | date_count |            amount            | is_contract 
--------------------------------------------+------------+------------------------------+-------------
 0x007b8eb47956bc6e92f35647132280382d897c46 |        117 |    89372423.7000000000000000 | 0
 0x3e8335bd17612706f0fd6993339c5af204071d10 |         79 |     8309426.8492968400000000 | 0
 0x2b6bb491bb557bf083deab6e9f737b4986d5adbc |         64 |    11606620.3930874800000000 | 0
 0x001d395a144cc31a6cf0d00372a65b79e64463b2 |         63 | 2369328.91000000000000000000 | 0
 0x007d89690f5626b5b0f41a6a7a07e579ee363181 |         61 |     2825792.0000000000000000 | 0
 0x000e20a2eefa97815f3f5057fcd8920acf1ae0de |         56 |    75979420.5000000000000000 | 0
 0x168c20ffa4a502388887516a8b723353dcd085b2 |         48 |     1698296.3343074700000000 | 0
 0x3ccd56b3f428a0e541b1e273ba2f4d4dee086024 |         46 |  273276.85427280000000000000 | 0
 0x0ec7a63ac1828dea1cc3966504204e16ea3daeae |         42 |      144546.2588433800000000 | 0
 0x531076795d16af276f94934858d49b548c1e8012 |         33 |        1799.7733435600000000 | 0
 0x1eb182eeefc68a711167cbbdd03c8f78d12834ed |         30 |     2197724.2992000000000000 | 0
 0x0549986777328f88fcf37e5954310f4f31c8f324 |         29 |      201298.9000000000000000 | 0
 0x00681477fabbf2bd9cb917ec84eef3e7b45e8d7b |         27 |       76350.8759719200000000 | 0
 0x3f2ece90aa5260fc82a0578ea22d62ad28afad47 |         26 |      673657.4955829600000000 | 0
 0x049ffb8273b6f1b66714a25af4148e9423b95846 |         23 |       16959.9377297700000000 | 0
 0x080d61d3351a19308e51c020989c0b7471d15b78 |         22 |       11951.7490579200000000 | 0
 0x1cb95c93a6d4e165efeb586448f0d7c682720bae |         22 |    1182.35433000000000000000 | 0
 0x38a7d32de039974f05e584a8fb71624c9fae6b89 |         22 |      488827.6091756200000000 | 0
 0x1a5192caee42589082f93f5c03d5468b6ce060b1 |         22 |     1366448.8000000000000000 | 0
 0x4266214da4258f02668ce7577ce20fe24cd76987 |         21 |      128310.5678043200000000 | 0
 0x131d03687cea2168b9e8cdfe9ab791d0a7575828 |         21 |       19127.4546700000000000 | 0
 0x440ae506a80e54750879397f44450d4626a31d3e |         19 |       63132.2092089000000000 | 0
 0x002d91c86d026319ba0d159c84ffea03bc00adf9 |         18 |     2559760.0000000000000000 | 0
 0x29b012bfe15eb0951bea51cf543e32bd7c8376c5 |         18 | 1078679.26000000000000000000 | 0
 0x40619ce71c8c8721cc76396b7c65f2b54fba5ad7 |         18 |      261607.2782715000000000 | 0
 0x107be5b0ee08804eff3fc202980932a3812db54f |         17 |        7625.7155427300000000 | 0
 0x1179f2f0a97a87697749c55de3245930505c5937 |         16 |        7777.3500000000000000 | 0
 0x3cb2def7999cebaf16a4d9f42e908f440d3b5bf7 |         15 |       80735.1616318500000000 | 0
 0x13137720b7366e605b08bef36792e78c8a1a059f |         15 |       65803.1924663400000000 | 0
 0x14d23d2e929610bf61a9aa7a63fbcf0dc82169f7 |         15 |       32977.0969743600000000 | 0
 
 
huobi -> upbit
                    to1                     | date_count |             amount             | is_contract 
--------------------------------------------+------------+--------------------------------+-------------
 0xaaf574778018fdd972ab22f407ec07093f04b0a4 |        140 | 277117202.35214860000000000000 | 0
 0xc6776d2cc3f8d338f9d31fb805c4c7f806ecc38d |         90 |       8992850.0546780000000000 | 0
 0x07faaafa82a6617f2567c0e3bcec44d0057d3564 |         90 |      15621319.5000000000000000 | 0
 0x034f854b44d28e26386c1bc37ff9b20c6380b00d |         82 |        775866.0000000000000000 | 0
 0xcac4f842be3488cd87a819f68287bf773f0b3234 |         80 |      13284102.0000000000000000 | 0
 0x31d32ddb237b9b8ec893b0ac529e36a48af21955 |         48 |       9324698.8265048400000000 | 0
 0xf3ca10f8be8fc97993c3463f13225ff8cd4da93c |         47 |       2405312.4826600000000000 | 0
 0x396bcf4a2c38c7aa5e9790e47c7f9844b8f0a60d |         46 |       4634641.8404399100000000 | 0
 0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10 |         40 |      20898404.8000000000000000 | 0
 0x27af87f6017190d4733617af5e30b44f140f247c |         35 |       1833632.9296305000000000 | 0
 0x7fec5b027781e7f57abb92e1b19ebdde8b4199d3 |         35 |        122043.3839280000000000 | 0
 0x7b7b59729ef3bbd5c3154a1e56d7199af6f44aee |         32 |        260756.1721500000000000 | 0
 0xd68ecd78e18b1024a002716e0116a0699571a6c0 |         30 |       1297239.6531000000000000 | 0
 0x5231c53b65cb5b2cf387cf27da0106a2cce48f68 |         29 |        663090.7000950000000000 | 0
 0xbb1cf889bcb74a794c4e30a9865d70d1e7f693e8 |         29 |        290715.2198240000000000 | 0
 0xe50c5205da1880afe520becaaec3964ce44f55f7 |         28 |       2512076.6243846000000000 | 0
 0x7759ab0792b32f38202eae7397924d91059b29c7 |         24 |        565821.3449749900000000 | 0
 0x9f6bd4509dc192766359eb5092e241893429e7ac |         21 |        171772.4325856000000000 | 0
 0x82fc6db51b7eb088cc77254eecbb2d5958a2a8f9 |         16 |          4874.3509516000000000 | 0
 0xe859273bbca5200639bad9971bfe12437f3b5981 |         15 |         18102.9600000000000000 | 0
 0xc53fc2b9ccbb91547d927f596887461c1853a45b |         13 |        305297.8500000000000000 | 0
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |         13 |       2373701.9495000000000000 | 0
 0x11f866192ccd4674b05cff589d9ea5023f2c649b |         13 |       1308681.6039616000000000 | 0
 0x2688ea997f91c1b54af6bc78f5fee35d8ce53a77 |         13 |     27043.47000000000000000000 | 0
 0x3fc624f587e9fdb76e31f6cf763cc414b41470a9 |         13 |       1292750.5854480000000000 | 0
 
 okex -> bithumb
                    to1                     | date_count |           amount            | is_contract 
--------------------------------------------+------------+-----------------------------+-------------
 0x0084dfd7202e5f5c0c8be83503a492837ca3e95e |        158 | 125719983220000000000000000 | 0
 0x000e20a2eefa97815f3f5057fcd8920acf1ae0de |        143 | 117562092876000000000000000 | 0
 0x002d91c86d026319ba0d159c84ffea03bc00adf9 |        120 |  35550480000000000000000000 | 0
 0x3e8335bd17612706f0fd6993339c5af204071d10 |         88 |  19155608207000000000000000 | 0

 0x3ccd56b3f428a0e541b1e273ba2f4d4dee086024 |         66 |   1228589010000000000000000 | 0
 0x1eb182eeefc68a711167cbbdd03c8f78d12834ed |         37 |   2120434101000000000000000 | 0
 
 0x3f2ece90aa5260fc82a0578ea22d62ad28afad47 |         35 |   2696500303000000000000000 | 0
 0x286f1c2a65704b71f54f91ff463eefcf8b09691c |         34 |    154299684000000000000000 | 0
 0x6492f98efd23bece595b9b4f89d6f02c5b7d999d |         30 |   1042935600000000000000000 | 0
 0x2b3ff3f633d639686d648dabc97bcc879b2a78b3 |         29 |    225088080000000000000000 | 0
 0x0037d662cfb470ba666a58864566f6d1ab3ceec6 |         26 |     20301400000000000000000 | 0
 0x40619ce71c8c8721cc76396b7c65f2b54fba5ad7 |         22 |    714458460000000000000000 | 0
 0x2a023b4045aa6770e76936f77816742b2ed074a4 |         22 |   1564200260000000000000000 | 0
 0x0549986777328f88fcf37e5954310f4f31c8f324 |         21 |    111649395000000000000000 | 0
 0x29b012bfe15eb0951bea51cf543e32bd7c8376c5 |         19 |    988090450000000000000000 | 0
