过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,1028,3249,2021/3/9,2018/1/7,2.99E+07,4254613
0xaaf574778018fdd972ab22f407ec07093f04b0a4,377,1691,2020/1/23,2018/8/29,267661,9658
0x3bef3ba047ba945ac67c9a2a1afe403935299178,317,1584,2019/11/27,2018/8/25,125832,3064
0x07faaafa82a6617f2567c0e3bcec44d0057d3564,257,649,2019/11/27,2018/7/17,37070.1,4171
0x27df33d544d73bef1132a7b09e8e3fee4e957311,231,643,2020/1/16,2018/7/17,45854.9,1268
0xf115a2ec837f43c8f65c76de2e829c2105e747de,196,252,2019/11/27,2018/7/18,417.303,2230
0x1bd53f6b54c1fd9d3a4342d133bcfc8ec7f284c6,189,767,2019/11/27,2019/2/23,34637.7,1474
0x7bf1a5d764fe890f3ddf875d4ffb0a332f37bf1e,186,1082,2019/11/27,2018/10/18,270375,2830
0x63555aba9f82c557a99cda40716bfc4db24e14b6,185,903,2019/9/19,2018/7/17,12353.1,1779
0x31af15e939bfa99a476056545e297369cf61c171,164,476,2019/11/26,2018/8/8,11837.4,1656
0x899af28074ca44d4e41749c97dab08c2f133f9c5,160,381,2019/9/24,2018/8/31,76713.1,783
0xcac4f842be3488cd87a819f68287bf773f0b3234,155,414,2019/11/26,2018/12/14,17315,3672
0x897ae1ca3d62ad578dc4e9eb912e2c1c8e6a46c5,151,331,2019/8/3,2018/11/6,7144.15,649
0xcb2742d0b23099cd8a483c20114501594e5595f4,146,329,2019/7/8,2018/7/17,44406.8,2206
0x796d41eeb2a12668fd6330edaf81a34365f94e96,112,166,2019/11/27,2018/12/24,17977.3,1198
0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10,101,201,2019/11/27,2018/7/18,24384.9,2659
0x0b63e4ef3741d422fcaad6ac733afa1e306af596,97,186,2019/6/28,2018/8/10,11092.1,491
0xacdfcee4dc8a8824a2d50ffb4064fa6bb5f425c7,78,425,2019/11/22,2019/5/31,88853.9,1102
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,78,1457,2021/3/9,2017/8/4,2.67E+06,15345036
0x3974f20da0d7d6f98b5d6b716347d5e2dc182cf6,76,83,2018/7/6,2018/2/6,127.809,167
0xc33310f127fc5d6fc29b6452ea72ced28982ef3d,69,100,2019/11/25,2018/7/21,3989,713
0x9664d98b91381af7910e673c5983f83c46865dec,65,76,2019/7/17,2018/7/23,57036.7,479
0xd84b6f6914af3361535c28eed1839342e8b25167,61,68,2019/11/25,2018/8/4,963.615,359
