过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x3e8335bd17612706f0fd6993339c5af204071d10,156,376,2021/3/8,2020/4/2,76294.5,2097
0x29ba8be4ed77d1966e2ac3ca85548d257de84e57,149,736,2019/6/12,2018/8/7,93816,4484
0xd117d999a71d4db9b26a6ad777fa0f8c71520608,148,587,2019/5/31,2018/9/27,18585.7,1046
0x007b8eb47956bc6e92f35647132280382d897c46,134,706,2021/2/26,2019/6/14,65875.8,11994
0xfd348d6397cd09ab0cea6e8ebe3cb42782cb8b13,124,513,2019/6/12,2018/12/25,25833,3395
0x7a5dab390f4661d763eb093bcfe94faad993adb7,104,318,2019/6/14,2018/8/5,28791,2457
0x2b6bb491bb557bf083deab6e9f737b4986d5adbc,84,693,2021/3/8,2020/3/13,38499,1323
0x007d89690f5626b5b0f41a6a7a07e579ee363181,81,217,2021/3/9,2019/6/14,7743,12699
0x872226b7dfabf40ced6ea86ea8d78dfaa212d996,81,304,2019/6/10,2019/1/19,24400,1448
0x001d395a144cc31a6cf0d00372a65b79e64463b2,79,152,2020/6/3,2019/6/16,5320.37,1708
0x8804f31694e563ff9991a1c0a1da53fe4fdfeee9,74,291,2019/4/18,2018/8/4,18339.9,1054
0x12d34d7a2a7e0d84811aa98ef950d8a55224c3e7,71,211,2019/6/12,2018/8/18,29176.2,937
0x37adf59496197928cfd2321f59b02a0f3988b277,69,312,2019/1/16,2018/8/4,44558.2,1409
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,68,238,2021/3/8,2019/6/14,36532.3,13196
0x3a284ab451eb5b6d070451fdb06880ceaffc089d,64,117,2019/3/29,2018/9/23,7831.9,1818
0x0549986777328f88fcf37e5954310f4f31c8f324,64,79,2021/3/8,2019/6/19,7667.97,13548
0xd0af9cd3e881cf79d5033f86704e3080e901044c,62,205,2019/4/17,2019/1/8,44932.2,1390
0x96b64a540232db11993d2325dd5899f7d335f147,61,93,2019/11/14,2018/11/19,4640.83,1089
0xb7543c114d6d29268b1c98933ea2f19eb00c5ad5,57,163,2019/5/6,2018/8/26,1971.21,2216
0x3ccd56b3f428a0e541b1e273ba2f4d4dee086024,53,94,2021/2/22,2020/3/21,3538.55,597
0x168c20ffa4a502388887516a8b723353dcd085b2,50,93,2021/3/8,2019/7/31,9794.9,3475
0x0d4de4c978dc27fcffba99a1a7a7881b786c8b63,49,156,2021/3/8,2019/6/30,3348.34,446
0x3f2ece90aa5260fc82a0578ea22d62ad28afad47,47,85,2021/3/8,2020/4/9,19191.8,706
0x0ec7a63ac1828dea1cc3966504204e16ea3daeae,43,55,2020/6/2,2019/7/3,2497.27,119
0x531076795d16af276f94934858d49b548c1e8012,39,39,2021/3/8,2018/11/5,2569.7,1859
0x691a17e15a372a64fa6135e357bc60e4705380ba,36,36,2019/3/18,2019/1/2,8.17067,78
0x7961b3db086a04f00984e4841f1ae40fcc1bf057,36,36,2019/3/18,2019/1/2,20.4267,76
0x4b0684c0159a573e2816ca6a68177db988861a91,36,36,2019/3/18,2018/11/21,24.512,92
0x170ea1ef72360cecd5b33c8f069aa20840954376,36,36,2019/3/18,2019/1/7,13.4412,72
0x71bd836e64cd1675911f821339964e96883c04a2,36,130,2018/11/29,2018/9/5,5052.14,350
0xfd85e6cec88511992844b35113be123621dc936a,35,48,2019/6/5,2018/12/7,840.04,971
0x228f305a5b4aa6405ef101c207018456c33c66c4,34,34,2019/3/18,2019/1/2,7.04338,78
0x22a9d542a5d2eedeafdee98ea50b29b7a97b154b,34,34,2019/3/18,2019/1/2,6.29532,76
0x9792be897166a02c4d03716093b8be4b402c3f10,33,33,2019/3/18,2019/1/2,5.80529,76
0x403147d7ffbfc00481124b5d387a55aa1c9e0442,33,33,2019/3/18,2019/1/2,5.73097,77
0x4bb6fd1f8eb0975e0773e4cf5b30655f3850bdc8,32,51,2019/1/9,2018/8/16,3307.1,211
0xce35f280e12a6b9b61390fc1828f02531e1f1fd5,32,32,2019/3/18,2019/1/2,5.5072,76
0x131d03687cea2168b9e8cdfe9ab791d0a7575828,32,65,2020/8/12,2019/7/11,1841.34,157
0x04c2ab4cd3a9eb6557575c00e7ff72ca49c554e7,31,31,2019/3/29,2019/1/2,3.92851,78
0x1eb182eeefc68a711167cbbdd03c8f78d12834ed,30,57,2020/3/16,2019/9/5,10617,419
0x440ae506a80e54750879397f44450d4626a31d3e,30,70,2021/3/6,2020/5/16,4401.91,213
0x00681477fabbf2bd9cb917ec84eef3e7b45e8d7b,30,65,2021/3/4,2019/6/15,2338.71,1533
0x39e3af12434bd2e7f9bc810769f8bbb4ee8fb728,29,45,2019/5/29,2018/8/5,32496.8,371
0x14d23d2e929610bf61a9aa7a63fbcf0dc82169f7,27,43,2020/12/30,2019/11/26,4466.7,242
0xd2d8cfd9ced5ecf4ad764a287093d2a1e1c285a5,27,109,2019/3/28,2018/9/19,4624,357
0x823c5a8cb85b321dd763f3c7376595baf407747d,27,81,2018/10/25,2018/8/23,2590.28,163
0x259877ac13602c94cf8bc8a8fa04549c1faaf5da,26,103,2019/3/13,2019/1/3,25061.9,199
0x002d91c86d026319ba0d159c84ffea03bc00adf9,26,42,2021/3/9,2019/6/17,5694,14295
0x66edca7533bf8521279a185821b86847928b5426,26,26,2019/3/18,2019/1/22,27.2554,56
0x4047041de42d494b99225b1fc9d680385ba0b028,26,163,2019/4/18,2018/9/23,6561.68,191
0x1a5192caee42589082f93f5c03d5468b6ce060b1,25,59,2021/2/8,2019/8/17,23865.8,134
0x080d61d3351a19308e51c020989c0b7471d15b78,24,25,2021/2/20,2019/12/15,503.738,76
0x13909b63baf095aa2af62fe20496ed70d8ea36df,23,37,2019/2/23,2018/8/4,7770,585
0x13137720b7366e605b08bef36792e78c8a1a059f,23,32,2021/1/29,2019/7/13,3662.8,101
0x049ffb8273b6f1b66714a25af4148e9423b95846,23,23,2020/9/7,2019/6/18,807.616,2137
0x0bdc7e08ea04da98c476ccbbb4809c089127ed72,23,33,2019/6/5,2018/8/7,754.124,281
0x38a7d32de039974f05e584a8fb71624c9fae6b89,22,42,2020/5/13,2020/2/26,12863.9,81
0x1cb95c93a6d4e165efeb586448f0d7c682720bae,22,23,2020/6/25,2019/8/29,51.4067,318
0x00abc5cecc8c7421668e8ee49cce2f951ba4d7de,22,60,2020/9/11,2019/6/14,1993.36,1329
0x4266214da4258f02668ce7577ce20fe24cd76987,21,50,2020/8/24,2020/5/5,5832.3,128
0x2543bfda39425e6043edaa88a8bd62cd676f8d0b,20,30,2019/5/29,2018/8/5,20203,373
0x3e16e14ba19ee287ba21374b0a77e4db40db84fe,19,24,2019/4/19,2018/8/5,16689,415
