过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0xaaf574778018fdd972ab22f407ec07093f04b0a4,385,1827,2020/1/23,2018/8/29,294983,9658
0x07faaafa82a6617f2567c0e3bcec44d0057d3564,300,878,2019/11/27,2018/7/17,57316.2,4171
0xcac4f842be3488cd87a819f68287bf773f0b3234,226,823,2019/11/26,2018/12/14,39543,3672
0x3fc624f587e9fdb76e31f6cf763cc414b41470a9,155,465,2019/3/10,2018/7/24,44546.6,950
0xcb2742d0b23099cd8a483c20114501594e5595f4,147,420,2019/7/8,2018/7/17,59368.9,2206
0x11f866192ccd4674b05cff589d9ea5023f2c649b,119,477,2019/5/21,2018/9/7,61307.2,969
0xc6776d2cc3f8d338f9d31fb805c4c7f806ecc38d,108,270,2019/11/23,2019/7/2,27093.5,750
0x31d32ddb237b9b8ec893b0ac529e36a48af21955,103,353,2019/11/27,2018/12/28,52950,1138
0xf3ca10f8be8fc97993c3463f13225ff8cd4da93c,98,250,2019/11/25,2019/3/27,20199,632
0x7fec5b027781e7f57abb92e1b19ebdde8b4199d3,96,139,2020/1/17,2019/4/8,1927.63,285
0x796d41eeb2a12668fd6330edaf81a34365f94e96,93,219,2019/11/27,2018/12/24,19110.7,1198
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,90,369,2021/1/10,2017/9/14,942704,360232
0x8af91c913e408c03c1044230e0f0152c295521d8,85,236,2019/6/21,2018/11/27,5125.26,461
0xc53fc2b9ccbb91547d927f596887461c1853a45b,80,140,2019/11/22,2018/11/26,10218.5,443
0x27e549f6dea1cd8178983cdd3fced4fa2edc27d5,79,291,2018/12/14,2018/7/19,26200.1,647
0x7b7b59729ef3bbd5c3154a1e56d7199af6f44aee,70,143,2019/11/25,2019/1/30,4219.03,308
0x9f6bd4509dc192766359eb5092e241893429e7ac,66,143,2020/1/16,2018/9/17,5788.96,300
0x5231c53b65cb5b2cf387cf27da0106a2cce48f68,63,134,2019/11/24,2019/4/7,11910.1,310
0xf6d38f27b1076a3417b16d50d90c2cccaa38f46d,61,155,2019/2/27,2018/8/6,14899.8,330
0x7759ab0792b32f38202eae7397924d91059b29c7,58,165,2019/8/31,2018/7/22,10666.6,371
0xf795c5cefc548f98946cb96ae37c76a675937f8b,56,143,2019/1/10,2018/8/2,4512.91,290
0x4e597edf75c182dec82059de9e059f78e4716604,55,83,2019/8/8,2018/7/17,7692.05,176
0xaff4fea7af02dbbc3b398a1ce6baa7c5d45bc770,54,214,2018/11/30,2018/9/5,22889.6,463
0x9ccc3452ab7299c0a6301f5b47b8d3f41ff3b2f1,52,77,2019/9/6,2018/7/20,4520.62,194
0x7ffbad7369e08dd9238186824dd939b7b09d3396,51,64,2019/11/15,2018/8/10,865.573,871
0x8861bd0807aca396fe684f7166b303a2b7c793d2,50,208,2019/6/25,2018/8/5,10946.5,394
0x76277e145a460e4cc208ff7ad0776d790878e54c,49,49,2019/11/20,2018/7/16,117.724,939
0x396bcf4a2c38c7aa5e9790e47c7f9844b8f0a60d,49,92,2019/11/26,2019/4/19,19481,568
0xa1a9ec4a314179d50e33f7a81eabe898e03c04d7,48,102,2020/2/26,2018/7/18,3001.43,328
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,47,101,2019/8/13,2017/12/20,43060.9,481938
0x88e52fe760c785d7f7c8ffc363de426f664ff9bd,43,65,2019/11/24,2018/11/14,3200,208
0x6d7e90ba03b4c07ff9858742df33af6996041a5e,42,84,2019/1/30,2018/11/27,4280,164
0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10,40,107,2019/11/27,2018/7/18,15457.4,2659
0xd68ecd78e18b1024a002716e0116a0699571a6c0,38,44,2019/11/27,2018/8/8,9724.37,380
0x8eae75e507f6e5a3048965ce9087c22a2f87d187,38,39,2019/11/26,2018/8/8,231.485,84
0xfae8812127b16b968a61c8e47b7773252efa508a,36,50,2019/1/2,2018/8/24,1161.74,99
0xbb1cf889bcb74a794c4e30a9865d70d1e7f693e8,36,59,2020/1/16,2019/5/23,4692.48,163
0x698785f789107790a8d67f9eb49e3be7125886d0,36,36,2019/11/20,2018/11/15,78.3265,88
0x27af87f6017190d4733617af5e30b44f140f247c,35,72,2019/11/27,2019/7/11,15944.6,252
0xcdbc317ce7fdf6507e0e61fbd2c31c58d034cad7,35,84,2019/8/19,2018/10/16,8870.81,764
0x571aa42b6101098d7685da7c356e5e9d439a2b45,34,41,2019/11/11,2018/7/17,25577.6,477
0x5e698b9cd97e79d956d8690cc5565a836dbe3948,33,40,2019/3/4,2018/8/3,9279.96,269
0xbb85ddd91ba1e278be0430cdbeb098abd185d9f1,32,75,2018/11/27,2018/8/2,2091.62,148
0xd79131d3c5fdc1843ba76e587b41db90930b9755,32,51,2019/9/15,2018/7/20,1332.41,348
0xabc49e2d6ef00c922604bcc5f2f5cc4b72d9dd2e,31,42,2019/6/28,2018/8/17,424.525,158
0xb1734c1f521de81b68853688dc0daeff73536180,29,109,2019/6/29,2018/8/21,5914.4,210
0x9fa1fafd3306ca98fd3dfd5febea9da753de3078,29,116,2019/6/10,2018/12/6,15919.4,235
0x70498746e91da144f11fdc04498560664ee685dc,29,93,2018/12/14,2018/11/13,2105.16,183
0xa55519012c70aa0fd22ce5b1b40c84a038a0d71d,29,31,2019/3/31,2018/7/18,34.1016,62
0x09e96ccc467e5c64e51617dc8dafcc57fa2a7b34,29,36,2019/11/11,2018/7/17,29707.1,322
0xe50c5205da1880afe520becaaec3964ce44f55f7,28,57,2019/11/26,2019/5/23,13802.6,407
0x16deb65014addfd1092b662a0d8d92c1568b7ad1,28,31,2019/8/31,2018/7/26,60.9272,70
0x9a4a97f012588549bd1747ea1b530d55146b5396,27,103,2018/11/5,2018/10/7,1549.11,202
0x51392bc9785fd0e1374e92d55b14bece86d2a1e4,26,81,2019/1/16,2018/9/12,6243.66,350
0x10b7c614c12fe1e56ed3c08d755f240ae44a2e79,25,27,2018/12/9,2018/10/28,72.69,54
0x2688ea997f91c1b54af6bc78f5fee35d8ce53a77,25,31,2020/1/23,2018/8/2,156.175,765
0x23f048f4453e9a86b9aad9cba7d35cffe7f4d600,24,65,2019/4/15,2018/10/18,3628.84,131
0x6b3ae5c39d9591e2feb73d2467fe01afd47a0d02,24,56,2019/7/20,2018/10/1,2476.96,113
0xfd5fead2180ef8b458c94a619e77f5621d79ecbe,24,86,2019/7/22,2018/10/19,3165.2,421
0xe1ee26e72e0f5adfa9000346acea9c0e3db8d37a,24,26,2019/11/21,2018/7/24,603.078,408
0xcc0f8e0211874d258d201bd996dc47dd2a23125e,24,36,2019/11/18,2018/9/21,830.075,1043
0xedd3aa321723ddd82ec403f4daf40ec542163a1a,23,23,2019/10/7,2018/8/28,161.261,70
0xd53d20eba9aa3679d4dd0219ec4cffb4b2368926,23,68,2019/8/22,2019/4/2,10120.8,463
0x5598a21bc9255496a0c8a3de589375e2ee48a457,22,22,2019/11/11,2018/7/16,333.012,324
0x23c98c5e42bf981f3ebe9739839906714630c83f,22,62,2019/11/25,2019/4/8,11199.5,397
0x56249e14ca863ba1cf48a7b1b2b49c7d679a58e1,22,24,2019/10/16,2018/8/6,375.243,143
0x15cdf52aa844c73ed3a2728ef7073b81a9a0e480,22,50,2019/2/25,2018/11/5,953.585,111
0x0ef5863400e09a0ba785b34163fd23c1fd3b8537,22,26,2019/6/23,2018/11/21,1363.95,67
0x4c6aa3d7b6137d7efa880dcf6dbcf6395091f3ff,21,27,2019/11/5,2018/7/18,21795.9,466
0x8803454f4dac3130b00bf763b6abad0603bc08e1,21,24,2019/10/15,2018/10/29,1443.98,76
0x794b0158f7e58ee6737242f145f7b09d9e437dc6,21,40,2018/7/7,2018/1/6,666.442,358
0x31af15e939bfa99a476056545e297369cf61c171,21,27,2019/11/26,2018/8/8,228.328,1656
0x26c6f99ee61b6673b68fe5681b3c486e1842dabe,20,21,2019/11/3,2018/7/27,889.409,115
0x6eccad3d4129dc49ae264db290b9cfabab7aab92,20,87,2018/9/27,2018/8/23,8750.05,195
0x8e9d81e0230975781ca4491e86afa75dfecd809a,20,40,2019/10/29,2019/4/15,5452.55,106
0xf5137a07f08ec66e6755e12556c6adcd0a4f063f,19,26,2019/11/23,2018/11/5,273.683,411
0x660e71538787dc2964798d0cc32f8d804eca9494,19,21,2019/11/26,2018/7/25,2072.77,296
0xa9b9f12240ebba835f1d94f2b94d16d462bdadb1,19,37,2019/10/18,2018/10/15,495.372,87
0x10d66db87f1226942777891e1b339f14e0258081,19,20,2019/11/7,2019/3/5,62.9505,42
0x8b8d7d3f715e6c08cc324b246d7b6e3effb60289,18,18,2019/6/16,2019/2/7,13.7788,40
0xdd13b4615c4c0c7da346b0516e6bb282ce4c2757,18,18,2019/10/24,2018/7/21,164.267,102
0x7a7387937a6696bcbb2a36b18acbdbc1082d8682,17,20,2019/9/17,2018/8/6,214.8,88
0xed45a9971a2d0738d43e3db27d05bed1cc5ea8d1,17,18,2019/9/15,2018/7/30,257.977,787
0x3daf204b8fa09ce2df275d4e76cc279696c56177,17,19,2019/11/5,2018/7/17,10648.5,236
0x5b36e04f576ba6c86474a1e434e69f368f7982fb,17,31,2019/3/20,2018/12/30,1094.88,62
0xd56d339430ab8595010d8e0ddb210b6db09f89d9,17,19,2019/10/29,2018/7/18,231.045,125
0x561b95bcd9299f4e31598f0ac6808f5781817f30,17,21,2019/9/9,2018/8/8,244.205,417
0x82fc6db51b7eb088cc77254eecbb2d5958a2a8f9,16,16,2020/1/16,2019/4/2,121.859,82
0x9a94430da40eeface61940158064d97a5eb3f1ec,16,16,2019/11/5,2019/7/19,10.824,32
0x18b7778f74c37fbeee78644f63cdb47b39c9bfe6,16,20,2018/12/15,2018/7/17,8374.22,117
0x4c7e95a85a2a9e3c07dc3661dd07edf121a23e65,16,17,2019/11/14,2018/7/28,50.1375,121
0xb15984f524cf03a3fbb7c874245045645c28fc3d,16,18,2019/10/23,2018/7/23,14056.6,450
