过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,224,582,2021/3/8,2019/6/14,92126.4,13196
0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,222,598,2021/3/6,2019/6/21,117061,65836
0x3e8335bd17612706f0fd6993339c5af204071d10,131,586,2021/3/8,2020/4/2,120942,2097
0x002d91c86d026319ba0d159c84ffea03bc00adf9,128,256,2021/3/9,2019/6/17,65894,14295
0x6492f98efd23bece595b9b4f89d6f02c5b7d999d,75,200,2019/3/26,2018/8/4,15368,1121
0x3f2ece90aa5260fc82a0578ea22d62ad28afad47,66,266,2021/3/8,2020/4/9,50719.6,706
0x3ccd56b3f428a0e541b1e273ba2f4d4dee086024,66,204,2021/2/22,2020/3/21,13651,597
0x2b3ff3f633d639686d648dabc97bcc879b2a78b3,61,101,2019/5/5,2018/8/16,7062.52,2851
0x9124da6ecbe5880055c7d184b61ee6db8ed43f48,60,121,2018/6/25,2017/8/22,8997.29,360
0xacc3ef5767d1b5026b455ea67d8e87356dfb57db,50,143,2018/6/22,2017/7/6,4352.81,1008
0x3c4c4138051847039ad1a3200737a14aef35957b,50,128,2018/6/27,2017/6/22,2223.76,292
0x286f1c2a65704b71f54f91ff463eefcf8b09691c,48,70,2021/2/25,2019/12/27,2564.34,603
0x78e45d2df17fd151c3cc8aee5feb5ba357291b19,47,222,2018/6/24,2017/6/26,13548.3,520
0x4bd8fbf7ba4b45c15cbc7e1f7619aa2567345865,47,271,2018/6/24,2017/7/2,21443.7,372
0x28f74ddbf6fbbe381c6370d7b5162a7e038aac63,45,256,2018/6/27,2017/7/16,23226.9,560
0x39e3af12434bd2e7f9bc810769f8bbb4ee8fb728,41,54,2019/5/29,2018/8/5,29940.2,371
0x1eb182eeefc68a711167cbbdd03c8f78d12834ed,37,54,2020/3/16,2019/9/5,10243.6,419
0x8f5357a2359ad4db3fed398235de2e040f9fdd8b,35,125,2019/6/11,2018/9/17,1758.72,452
0x0000b446bc8b47be5ef8d5ea8964508130e77ce0,33,50,2019/4/3,2018/8/14,979.01,1010
0x0549986777328f88fcf37e5954310f4f31c8f324,33,39,2021/3/8,2019/6/19,2883.99,13548
0x960d1beef87f5ede5464a817c9fbcfb3ed7d59ed,31,93,2018/12/20,2018/10/24,2109.27,223
0x4d494d313af61af6fae7eded02b1cbdad06f594f,30,36,2018/6/24,2018/1/20,10269.2,114
0x32a88f27cf6b9fd109191e498208da2c1ad5389a,30,132,2018/6/27,2017/8/9,6956.75,365
0xd980956c2b11ecb572ac501a05010876fb74f0b1,28,44,2018/6/23,2016/9/29,1955.7,235
0xc6a7b37d01dc4c1a4773761acd51a419e63fdea4,28,36,2018/6/26,2018/1/19,10696.2,96
0x6335b47d385d92707cd8cf216739ec4b464c96f1,28,56,2018/6/26,2017/7/11,1324.41,215
0x0037d662cfb470ba666a58864566f6d1ab3ceec6,27,27,2019/10/28,2019/6/13,1450.32,409
0x96b64a540232db11993d2325dd5899f7d335f147,27,40,2019/11/14,2018/11/19,2790.9,1089
0x41709ea4349aadb5f9da724a50b597ebdbdece9e,27,81,2018/6/22,2017/5/29,2939.66,163
0x1bf98bedf9c2fd3c1777f52b0723539cf6236877,26,101,2018/6/26,2017/6/29,3492.86,170
0xe20d7d8585742dd2b0b096815be69b4a1f9281b3,26,56,2018/6/23,2017/6/4,1049.79,164
0x4a971c116d3795450ce6a5613a94125d944f79db,26,39,2018/6/24,2017/8/1,118.02,2170
0x41776d1cf9ec4147626bbc389c977a69329f92fa,26,168,2018/6/22,2017/5/10,14452,538
0xdff6836d8c3dcf09fa24f5ff20189c8dedfa3a14,26,148,2018/6/23,2017/4/26,9721.41,458
0xce18dadc35d78f85f739f7210718707b6ac03d0b,26,67,2018/6/26,2018/1/18,532.973,126
0x61b5652e2aafeb117bf2ba95bbfb3bbde0307157,25,100,2018/6/25,2017/6/16,1853.45,649
0xf0280d84fa26ceb75a6b7d54b266cabf7b4a7c3b,25,74,2018/6/24,2017/8/1,1558.73,292
0xb08670bc30b3e01b5262eb181c6149808c8674ff,24,46,2018/6/24,2017/8/1,1084.74,120
0xf1e4c615b6330aeabb5c11a731b072e05bcef293,24,56,2018/6/24,2017/6/16,7488.63,657
0x40619ce71c8c8721cc76396b7c65f2b54fba5ad7,24,78,2021/2/22,2020/4/21,23994.9,242
0x99968f71044a679a4f5b3b89d3f8d1ced74055b0,24,34,2019/6/3,2019/1/10,453.44,511
0xa683d74324eb3fed6864940aa34ae3863b61baca,24,51,2018/6/26,2017/7/1,3971.5,157
0xf4337bdce3393025d4bd662900f924688344265e,24,49,2018/6/24,2017/10/9,7725.88,136
0x2a023b4045aa6770e76936f77816742b2ed074a4,23,25,2021/2/25,2019/11/22,13446.5,9144
0x22f0e7586cacc60c65ceddb5e2023f129bf69cf1,22,32,2018/6/26,2017/12/21,651.342,65
0x93afb33fa80a1855ee9a43e8d15ca5ebf18b0b0d,22,78,2018/6/25,2017/3/31,6526.95,450
0xa8cc7d129c8fb05c71556e630982b84978f4e30d,21,89,2018/6/26,2017/6/29,8074.06,186
0x29b012bfe15eb0951bea51cf543e32bd7c8376c5,21,21,2021/3/8,2019/11/22,9886.67,6506
0x76af57e35a88fe75b9d3c9a4bacacfc96fc1353e,21,27,2018/6/24,2017/9/17,469.111,63
0xfd85e6cec88511992844b35113be123621dc936a,20,39,2019/6/5,2018/12/7,957.61,971
0xc537b278d746c08cc864a7bee53f7abcbcb59767,20,38,2018/6/25,2017/6/7,1204.14,87
0x000e1ba0d530b95300667c06e362055b10ea638f,20,21,2021/3/8,2019/6/13,26552.2,863
0xfba96c71d596df782e6e30652f064b4d1b57d2c0,20,65,2018/6/25,2017/5/31,3966.53,112
0xc608f5a4a159a5ce39dcb42d8a9f77392af1d81d,20,29,2018/6/26,2017/5/25,2660.46,217
0x0d8e3c05ad0c648fc714cb4bd862a34a7f31f094,20,22,2021/2/28,2019/7/1,10352.8,44
0x7ade8ccde387fcea2d580dcf705c77472254eef9,19,45,2018/6/25,2017/12/25,121.928,81
0x07ef8a9e3a892e7cd12d992d6a95c8ceea5afe72,19,42,2018/6/26,2018/5/3,1284.95,215
0x1194d33bd19c0680d99ae7160510523207b6cd5d,19,50,2019/8/18,2019/7/12,13941.2,199
0x402eeb6564caef44164f9f742241cc97a5d6ee41,19,34,2018/6/27,2017/6/18,316.783,508
0xf9503491c0221ede8ec9adf3f54704ed4f642ceb,19,24,2019/5/30,2019/2/3,262.783,67
0x603a13a8d31bdca36c8417daba78dbc780f62db8,18,27,2018/6/25,2017/10/1,7990.49,697
