Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
56757/41280    6.140    0.000   10.155    0.000 base.py:141(hasattr)
41280/28380    4.015    0.000   16.236    0.001 base.py:154(getattr)
    96332    2.869    0.000    2.874    0.000 {built-in method builtins.getattr}
64430/64155    2.013    0.000    2.310    0.000 {built-in method builtins.hasattr}
     1290    1.987    0.002   19.434    0.015 base.py:76(Parse)
    63168    1.836    0.000    1.836    0.000 {method 'append' of 'list' objects}
        1    1.596    1.596   23.530   23.530 trans_reparse.py:195(main)
 1060/154    1.458    0.001    5.731    0.037 sre_parse.py:470(_parse)
43096/42051    1.288    0.000    1.349    0.000 {built-in method builtins.len}
    18187    1.199    0.000    1.827    0.000 sre_parse.py:253(get)
38277/38222    1.076    0.000    1.110    0.000 {built-in method builtins.isinstance}
 2076/147    0.965    0.000    4.565    0.031 sre_compile.py:64(_compile)
    10160    0.941    0.000    1.590    0.000 base.py:25(bytes2HexStr)
    13135    0.753    0.000    1.571    0.000 enum.py:267(__call__)
    21436    0.727    0.000    0.727    0.000 sre_parse.py:232(__next)
     5768    0.667    0.000    1.849    0.000 enum.py:803(__and__)
   5802/3    0.658    0.000    1.758    0.586 expressions.py:140(match_core)
     5551    0.557    0.000    0.931    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     5551    0.535    0.000    1.641    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     8683    0.517    0.000    0.793    0.000 sre_parse.py:163(__getitem__)
    11610    0.503    0.000    1.296    0.000 base.py:133(String)
     1026    0.484    0.000    2.480    0.002 <frozen importlib._bootstrap_external>:1233(find_spec)
    10000    0.414    0.000    0.414    0.000 {method 'get' of 'plyvel._plyvel.DB' objects}
    13243    0.399    0.000    0.399    0.000 {method 'get' of 'dict' objects}
    13121    0.390    0.000    0.460    0.000 enum.py:517(__new__)
    12171    0.380    0.000    0.380    0.000 {method 'rstrip' of 'str' objects}
     5000    0.352    0.000   19.957    0.004 trans_reparse.py:44(Parse)
   2347/3    0.347    0.000    1.062    0.354 nodes.py:198(visit)
    11396    0.346    0.000    0.346    0.000 {method 'startswith' of 'str' objects}
    10160    0.332    0.000    0.332    0.000 {built-in method binascii.hexlify}
    10268    0.320    0.000    0.320    0.000 {method 'decode' of 'bytes' objects}
     5000    0.306    0.000    0.465    0.000 base.py:13(num2Bytes)
3178/1262    0.286    0.000    0.431    0.000 sre_parse.py:173(getwidth)
7051/6973    0.279    0.000    0.425    0.000 {method 'join' of 'str' objects}
      252    0.263    0.001    0.784    0.003 version.py:205(_legacy_cmpkey)
      765    0.263    0.000    0.579    0.001 sre_compile.py:250(_optimize_charset)
     6565    0.261    0.000    0.340    0.000 sre_parse.py:248(match)
  535/529    0.238    0.000    3.622    0.007 <frozen importlib._bootstrap>:870(_find_spec)
     2338    0.232    0.000    0.363    0.000 version.py:187(_parse_version_parts)
     1357    0.223    0.000    0.493    0.000 posixpath.py:75(join)
     5000    0.202    0.000    0.202    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
  680/147    0.192    0.000    5.793    0.039 sre_parse.py:407(_parse_sub)
     6338    0.186    0.000    0.186    0.000 {built-in method builtins.id}
   1656/3    0.177    0.000    1.758    0.586 expressions.py:328(_uncached_match)
     5722    0.177    0.000    0.177    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2826    0.177    0.000    0.259    0.000 sre_parse.py:171(append)
     3135    0.172    0.000    0.266    0.000 sre_parse.py:159(__len__)
      451    0.167    0.000    0.167    0.000 {built-in method marshal.loads}
      491    0.165    0.000    0.743    0.002 <frozen importlib._bootstrap>:504(_init_module_attrs)
     5000    0.159    0.000    0.159    0.000 {method 'to_bytes' of 'int' objects}
      902    0.159    0.000    0.668    0.001 <frozen importlib._bootstrap_external>:263(cache_from_source)
      425    0.153    0.000    0.312    0.001 version.py:271(__init__)
     2674    0.152    0.000    0.231    0.000 sre_parse.py:285(tell)
  532/531    0.150    0.000    2.570    0.005 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1028    0.150    0.000    0.337    0.000 __init__.py:2067(dist_factory)
     2234    0.145    0.000    0.214    0.000 <frozen importlib._bootstrap>:843(__enter__)
     4753    0.144    0.000    0.144    0.000 {method 'endswith' of 'str' objects}
     2234    0.141    0.000    0.210    0.000 <frozen importlib._bootstrap>:847(__exit__)
  1463/14    0.139    0.000   31.122    2.223 <frozen importlib._bootstrap>:997(_handle_fromlist)
     4804    0.137    0.000    0.137    0.000 {built-in method builtins.min}
      765    0.135    0.000    0.890    0.001 sre_compile.py:223(_compile_charset)
     2273    0.133    0.000    0.245    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     4492    0.131    0.000    0.131    0.000 {method 'rpartition' of 'str' objects}
    552/8    0.131    0.000   31.512    3.939 <frozen importlib._bootstrap>:966(_find_and_load)
     2598    0.131    0.000    0.131    0.000 {built-in method posix.stat}
1119/1114    0.128    0.000    4.522    0.004 {built-in method builtins.__build_class__}
     1083    0.128    0.000    0.235    0.000 descriptor.py:551(__new__)
1915/1867    0.125    0.000    0.215    0.000 typing.py:1164(__setattr__)
  477/473    0.124    0.000    0.389    0.001 copy.py:66(copy)
     1107    0.120    0.000    0.376    0.000 {built-in method builtins.any}
     4161    0.119    0.000    0.119    0.000 {built-in method builtins.ord}
     1718    0.118    0.000    0.178    0.000 posixpath.py:41(_get_sep)
      451    0.116    0.000    1.102    0.002 <frozen importlib._bootstrap_external>:743(get_code)
      266    0.115    0.000    0.477    0.002 abc.py:132(__new__)
     3517    0.115    0.000    0.115    0.000 {built-in method posix.fspath}
 1132/137    0.113    0.000    1.655    0.012 expressions.py:354(_uncached_match)
   2347/3    0.113    0.000    0.950    0.317 nodes.py:217(<listcomp>)
     1454    0.113    0.000    0.189    0.000 expressions.py:277(_uncached_match)
     2347    0.111    0.000    0.167    0.000 nodes.py:56(__iter__)
      536    0.108    0.000    1.509    0.003 inspect.py:2183(_signature_from_callable)
     3475    0.108    0.000    0.108    0.000 {built-in method _imp.acquire_lock}
    496/8    0.107    0.000   31.425    3.928 <frozen importlib._bootstrap>:651(_load_unlocked)
        2    0.107    0.054    1.108    0.554 Tron_pb2.py:4(<module>)
     3475    0.107    0.000    0.107    0.000 {built-in method _imp.release_lock}
    546/8    0.094    0.000   31.501    3.938 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       98    0.091    0.001    0.802    0.008 __init__.py:2053(<genexpr>)
      148    0.086    0.001    0.749    0.005 typing.py:922(__new__)
      451    0.085    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      644    0.084    0.000    0.211    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  491/480    0.083    0.000    2.772    0.006 <frozen importlib._bootstrap>:564(module_from_spec)
     1290    0.082    0.000    0.082    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
       19    0.081    0.004    0.362    0.019 enum.py:124(__new__)
      266    0.081    0.000    0.160    0.001 abc.py:135(<setcomp>)
      902    0.078    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1578    0.077    0.000    0.077    0.000 {built-in method _CheckCalledFromGeneratedFile}
      879    0.076    0.000    0.155    0.000 sre_compile.py:388(_simple)
     2677    0.075    0.000    0.075    0.000 {method 'find' of 'bytearray' objects}
     1290    0.075    0.000    0.146    0.000 base.py:338(write)
       13    0.075    0.006    0.339    0.026 enum.py:625(<listcomp>)
      316    0.074    0.000    0.336    0.001 inspect.py:2102(_signature_from_function)
     1290    0.073    0.000    0.219    0.000 base.py:95(Write)
     1290    0.071    0.000    0.071    0.000 {method 'writerow' of '_csv.writer' objects}
     2347    0.071    0.000    0.071    0.000 nodes.py:44(__init__)
     1769    0.071    0.000    0.100    0.000 {built-in method builtins.setattr}
      471    0.071    0.000    0.160    0.000 copy.py:268(_reconstruct)
      554    0.070    0.000    0.117    0.000 <frozen importlib._bootstrap>:176(cb)
     1526    0.070    0.000    0.070    0.000 {built-in method __new__ of type object at 0x7f398d3f70e0}
       19    0.069    0.004    0.141    0.007 enum.py:160(<setcomp>)
      958    0.063    0.000    0.408    0.000 __init__.py:2045(<genexpr>)
     2076    0.063    0.000    0.063    0.000 sre_parse.py:111(__init__)
      870    0.062    0.000    0.105    0.000 version.py:98(_compare)
